# COE, AEP
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841933363402145574e+01 2.858314261702688336e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841570096749333629e+01 2.858480912625222206e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.841202760245595016e+01 2.858649450379906893e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840843612386454708e+01 2.858814250316152573e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840489646777784571e+01 2.858976690898537636e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.840140689240938343e+01 2.859136851266351938e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
6.839792925309818372e+01 2.859296481660705209e+08
